INFO: loading assets/player_rocket.bmp into memory
INFO: assets/player_rocket.bmp, width: 20, heighet: 23
INFO: loading assets/player.bmp into memory
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
INFO: assets/player_rocket.bmp, width: 16, heighet: 48
INFO: assets/player.bmp, width: 16, heighet: 48
